batch_time,collision_files,strict_scoping,agents,all_scopes
2026-02-24T18:20:45.886000+00:00,systems.rs(x2); types.rs(x3),True,5,src/battle/damage.rs; systems.rs; types.rs; src/battle/ai.rs; data/abilities.rs; src/battle/rewards.rs; src/plugins/core_plugin.rs; src/battle/systems.rs; /home/user/vale-village-rust/src/plugins/core_plugin.rs; src/plugins/tower.rs
2026-02-24T19:00:08.746000+00:00,/home/user/vale-village-rust/src/plugins/overworld.rs(x2); overworld.rs(x2),True,5,/home/user/vale-village-rust/src/plugins/overworld.rs; overworld.rs; /home/user/vale-village-rust/src/plugins/tower.rs; /home/user/vale-village-rust/src/battle/systems.rs; src/battle/plugin.rs; /home/user/vale-village-rust/src/data/enemies.rs; /home/user/vale-village-rust/src/data/units.rs; enemies.rs; units.rs
2026-02-24T19:11:47.560000+00:00,/home/user/vale-village-rust/src/plugins/battle_ui.rs(x2),True,4,/home/user/vale-village-rust/src/plugins/battle_ui.rs; battle_ui.rs; /home/user/vale-village-rust/src/battle/types.rs; /home/user/vale-village-rust/src/plugins/shop.rs; /home/user/vale-village-rust/src/data/items.rs; items.rs; shop.rs; /home/user/vale-village-rust/src/plugins/overworld.rs
2026-02-24T19:58:43.907000+00:00,src/plugins/save.rs(x2); src/battle/systems.rs(x3); src/battle/djinn.rs(x4); src/plugins/battle_ui.rs(x2),True,10,src/plugins/save.rs; src/battle/systems.rs; src/battle/djinn.rs; src/data/djinn.rs; src/data/enemies.rs; src/data/abilities.rs; src/battle/status.rs; src/battle/turn_order.rs; src/battle/ai.rs; src/plugins/battle_ui.rs; src/plugins/tower.rs; tower.rs; battle_ui.rs; src/battle/types.rs; systems.rs; src/plugins/overworld.rs
2026-02-24T20:23:36.982000+00:00,src/plugins/core_plugin.rs(x2); core_plugin.rs(x3),False,5,src/plugins/sprites.rs; src/main.rs; src/plugins/mod.rs; main.rs; battle_ui.rs; overworld.rs; src/plugins/core_plugin.rs; src/plugins/save.rs; core_plugin.rs; save.rs; src/data/enemies.rs; src/plugins/ui.rs; ui.rs; data/enemies.rs; src/battle/systems.rs; systems.rs
2026-02-24T20:31:39.104000+00:00,src/plugins/battle_ui.rs(x2); battle_ui.rs(x2),False,4,src/plugins/battle_ui.rs; src/plugins/sprites.rs; battle_ui.rs; src/battle/systems.rs; core_plugin.rs; src/plugins/ui.rs; ui.rs; types.rs
2026-02-24T21:00:49.289000+00:00,plugins/audio.rs(x11); data/enemies.rs(x11); src/plugins/battle_ui.rs(x11); src/plugins/overworld.rs(x11); src/plugins/core_plugin.rs(x11); src/components/stats.rs(x11); src/plugins/ui.rs(x11); src/data/enemies.rs(x11),False,66,plugins/audio.rs; data/enemies.rs; src/plugins/battle_ui.rs; src/plugins/overworld.rs; src/plugins/core_plugin.rs; src/components/stats.rs; src/plugins/ui.rs; src/data/enemies.rs
2026-02-24T21:35:36.067000+00:00,src/battle/systems.rs(x11); src/plugins/ui.rs(x11); src/plugins/inventory.rs(x11); src/battle/damage.rs(x11); core_plugin.rs(x11),False,44,src/battle/systems.rs; src/plugins/ui.rs; src/plugins/inventory.rs; src/battle/damage.rs; core_plugin.rs
2026-02-25T00:11:34.891000+00:00,src/data/enemies.rs(x7); src/data/abilities.rs(x7); src/data/units.rs(x7); src/data/djinn.rs(x7); src/battle/djinn.rs(x7); src/battle/ai.rs(x7),False,21,src/data/enemies.rs; src/data/abilities.rs; src/data/units.rs; src/data/djinn.rs; src/battle/djinn.rs; src/battle/ai.rs
2026-02-25T19:38:18.916000+00:00,overworld.rs(x2); battle_ui.rs(x2); djinn.rs(x2); core_plugin.rs(x2),False,2,overworld.rs; battle_ui.rs; djinn.rs; core_plugin.rs
