wave,rank,file,churn_lines
3,1,src/plugins/inventory.rs,885
3,2,src/plugins/ui.rs,228
3,3,src/battle/systems.rs,187
3,4,src/data/enemies.rs,128
3,5,src/plugins/overworld.rs,124
3,6,src/plugins/battle_ui.rs,123
4,1,src/plugins/tower.rs,222
4,2,src/plugins/overworld.rs,201
4,3,src/data/units.rs,94
4,4,src/data/enemies.rs,74
4,5,src/battle/systems.rs,15
4,6,src/battle/plugin.rs,7
5,1,src/battle/types.rs,600
5,2,src/plugins/shop.rs,169
5,3,src/plugins/battle_ui.rs,136
5,4,src/data/items.rs,110
5,5,src/plugins/overworld.rs,29
6,1,src/plugins/battle_ui.rs,561
6,2,src/data/abilities.rs,402
6,3,src/plugins/core_plugin.rs,123
6,4,src/plugins/save.rs,5
7,1,src/battle/djinn.rs,726
7,2,src/battle/systems.rs,600
7,3,src/plugins/tower.rs,145
7,4,src/plugins/overworld.rs,107
7,5,src/data/enemies.rs,92
7,6,src/plugins/save.rs,10
7,7,src/battle/types.rs,3
8,1,src/plugins/core_plugin.rs,636
8,2,src/plugins/sprites.rs,349
8,3,src/plugins/ui.rs,74
8,4,src/battle/systems.rs,32
8,5,src/plugins/save.rs,17
8,6,src/main.rs,2
8,7,src/plugins/mod.rs,1
9,1,src/plugins/ui.rs,299
9,2,src/battle/systems.rs,157
9,3,src/plugins/battle_ui.rs,61
10,1,src/plugins/core_plugin.rs,632
10,2,src/plugins/save.rs,392
10,3,src/plugins/overworld.rs,241
10,4,src/plugins/ui.rs,240
10,5,src/plugins/battle_ui.rs,61
11,1,src/plugins/core_plugin.rs,676
11,2,src/battle/systems.rs,200
11,3,src/plugins/overworld.rs,74
12,1,src/plugins/core_plugin.rs,610
12,2,src/data/enemies.rs,607
12,3,src/plugins/ui.rs,503
12,4,src/plugins/battle_ui.rs,120
12,5,src/plugins/sprites.rs,34
13,1,src/battle/damage.rs,188
13,2,src/battle/systems.rs,35
13,3,src/plugins/inventory.rs,2
