wave,start_time,end_time,wall_minutes_approx,commits_in_wave,files_touched,lines_added,lines_deleted,top_5_hot_files,wave_commit_subject,wave_commit_hash
3,2026-02-24T18:59:28+00:00,2026-02-24T19:11:08+00:00,11.67,1,6,595,18,src/plugins/tower.rs; src/plugins/overworld.rs; src/data/units.rs; src/data/enemies.rs; src/battle/systems.rs,"feat: Wave 3 — game flow, recruitment, defeat screen, party management, enemy tiers",fa21356d9613
4,2026-02-24T19:11:08+00:00,2026-02-24T19:27:55+00:00,16.78,1,5,1036,8,src/battle/types.rs; src/plugins/shop.rs; src/plugins/battle_ui.rs; src/data/items.rs; src/plugins/overworld.rs,"feat: Wave 4 — tiered encounters, inn healing, tower progression, flee fix, tests",0832b8ea4ccd
5,2026-02-24T19:27:55+00:00,2026-02-24T19:46:27+00:00,18.53,1,4,1082,9,src/plugins/battle_ui.rs; src/data/abilities.rs; src/plugins/core_plugin.rs; src/plugins/save.rs,"feat: Wave 5 — battle log, status helpers, shop/item tests, encounter visuals",aab25da54ebc
6,2026-02-24T19:46:27+00:00,2026-02-24T20:23:00+00:00,36.55,2,7,1666,47,src/battle/djinn.rs; src/battle/systems.rs; src/plugins/tower.rs; src/plugins/overworld.rs; src/data/enemies.rs,"feat: Wave 6 — story flags, ability expansion, djinn/item battle selection",a5cff650d520
7,2026-02-24T20:23:00+00:00,2026-02-24T20:31:07+00:00,8.12,1,7,1104,7,src/plugins/core_plugin.rs; src/plugins/sprites.rs; src/plugins/ui.rs; src/battle/systems.rs; src/plugins/save.rs,"feat: Wave 7 — enhanced summons, djinn tests, auto-save, Elder NPC, enemy data tests",eb9f279b321c
8,2026-02-24T20:31:07+00:00,2026-02-24T20:42:23+00:00,11.27,1,3,473,44,src/plugins/ui.rs; src/battle/systems.rs; src/plugins/battle_ui.rs,"feat: Wave 8 — bestiary, difficulty system, sprites plugin, display settings",0a8cb00d47d5
9,2026-02-24T20:42:23+00:00,2026-02-24T20:49:50+00:00,7.45,1,5,1529,37,src/plugins/core_plugin.rs; src/plugins/save.rs; src/plugins/overworld.rs; src/plugins/ui.rs; src/plugins/battle_ui.rs,"feat: Wave 9 — difficulty wiring, battle log events, save slot UI",2c772607a169
10,2026-02-24T20:49:50+00:00,2026-02-24T21:00:19+00:00,10.48,1,3,946,4,src/plugins/core_plugin.rs; src/battle/systems.rs; src/plugins/overworld.rs,"feat: Wave 10 — achievements, difficulty select, NPC content, save tests",7ae7d7a4f0b9
11,2026-02-24T21:00:19+00:00,2026-02-24T21:10:20+00:00,10.02,1,2,103,1,src/plugins/ui.rs; src/plugins/core_plugin.rs,"feat: Wave 11 — achievement wiring, overworld sprites, integration tests",b6388b8e17ad
12,2026-02-24T21:10:20+00:00,2026-02-24T21:17:18+00:00,6.97,2,17,122,3,src/plugins/battle_ui.rs; src/plugins/ui.rs; src/plugins/core_plugin.rs; assets/audio/sfx/menu_select.ogg; assets/audio/sfx/menu_cancel.ogg,chore: Wave 12 WIP — tutorial and weather systems (agents in progress),c571251f9b20
12,2026-02-24T21:17:18+00:00,2026-02-24T21:21:24+00:00,4.1,3,18,675,5,src/data/enemies.rs; src/plugins/sprites.rs; src/plugins/audio.rs; src/plugins/ui.rs; assets/audio/sfx/menu_select.ogg,"chore: Wave 12 WIP — battle backgrounds, weather, tutorial (agents active)",d3c8ba527cd7
12,2026-02-24T21:21:24+00:00,2026-02-24T21:22:27+00:00,1.05,1,1,356,2,src/plugins/core_plugin.rs,"feat: Wave 12 partial — new enemies, sprite mappings, tutorial scaffolding",7df9001aeefa
12,2026-02-24T21:22:27+00:00,2026-02-24T21:23:06+00:00,0.65,1,1,385,0,src/plugins/ui.rs,chore: Wave 12 WIP — weather system progress in core_plugin,634e0dc43cf0
12,2026-02-24T21:23:06+00:00,2026-02-24T21:24:05+00:00,0.98,1,1,2,1,src/plugins/ui.rs,chore: Wave 12 WIP — tutorial system progress in ui.rs,db1e6b27d2ff
12,2026-02-24T21:24:05+00:00,2026-02-24T21:26:01+00:00,1.93,1,1,1,0,src/plugins/ui.rs,chore: Wave 12 WIP — tutorial system continued,0e240d9aae0b
12,2026-02-24T21:26:01+00:00,2026-02-24T21:26:07+00:00,0.1,1,1,1,0,src/plugins/ui.rs,chore: Wave 12 WIP — tutorial system updates,9f1f1c95c687
12,2026-02-24T21:26:07+00:00,2026-02-24T21:31:25+00:00,5.3,1,1,250,0,src/plugins/core_plugin.rs,chore: Wave 12 WIP — tutorial system updates,72415042674a
12,2026-02-24T21:31:25+00:00,2026-02-24T22:05:56+00:00,34.52,3,5,228,11,src/battle/damage.rs; src/battle/systems.rs; src/plugins/ui.rs; src/plugins/inventory.rs; src/data/enemies.rs,"feat: Wave 12 — weather system, tutorial, enemies, audio, battle backgrounds",3c330a6291f9
13,2026-02-24T22:05:56+00:00,2026-02-25T19:47:18+00:00,1301.37,3,1,342,0,ORCHESTRATION_METRICS.md,"feat: Wave 13 — weather damage multipliers, battle SFX triggers, inventory prep",d60bfbddadf1
