wave,start_time,end_time,wall_minutes,dispatches,dispatch_batches,strict_scoped,loose_scoped,collisions_in_wave,collision_rate,collision_files,total_tool_calls,integration_tool_calls,cargo_check_runs,cargo_clippy_runs,cargo_test_runs,cargo_fmt_runs,git_commit_runs,edits,reads
pre,2026-02-24T17:37:01.762000+00:00,2026-02-24T18:59:28+00:00,,22,,,,,,,359,337,18,12,17,9,3,56,111
3,2026-02-24T18:59:28+00:00,2026-02-24T19:11:08+00:00,11.67,5,1,5,0,1,1.0,/home/user/vale-village-rust/src/plugins/overworld.rs; overworld.rs,49,44,3,3,2,1,1,5,9
4,2026-02-24T19:11:08+00:00,2026-02-24T19:27:55+00:00,16.78,4,1,4,0,1,1.0,/home/user/vale-village-rust/src/plugins/battle_ui.rs,50,46,4,2,2,1,1,7,6
5,2026-02-24T19:27:55+00:00,2026-02-24T19:46:27+00:00,18.53,3,1,3,0,0,0.0,,41,38,4,2,5,1,1,0,0
6,2026-02-24T19:46:27+00:00,2026-02-24T20:23:00+00:00,36.55,12,3,4,8,1,0.3333,src/plugins/save.rs; src/battle/systems.rs; src/battle/djinn.rs; src/plugins/battle_ui.rs,117,105,10,6,3,1,2,13,18
7,2026-02-24T20:23:00+00:00,2026-02-24T20:31:07+00:00,8.12,5,1,0,5,1,1.0,src/plugins/core_plugin.rs; core_plugin.rs,28,23,3,4,2,0,1,4,4
8,2026-02-24T20:31:07+00:00,2026-02-24T20:42:23+00:00,11.27,4,1,0,4,1,1.0,src/plugins/battle_ui.rs; battle_ui.rs,19,15,5,1,1,1,1,0,0
9,2026-02-24T20:42:23+00:00,2026-02-24T20:49:50+00:00,7.45,4,1,0,4,0,0.0,,31,27,7,3,2,0,1,2,3
10,2026-02-24T20:49:50+00:00,2026-02-24T21:00:19+00:00,10.48,3,1,0,3,0,0.0,,143,140,14,33,12,22,11,1,1
11,2026-02-24T21:00:19+00:00,2026-02-24T21:10:20+00:00,10.02,66,1,0,66,1,1.0,plugins/audio.rs; data/enemies.rs; src/plugins/battle_ui.rs; src/plugins/overworld.rs; src/plugins/core_plugin.rs,3252,3186,22,0,30,0,11,11,372
12,2026-02-24T21:10:20+00:00,2026-02-24T22:05:56+00:00,55.6,44,1,0,44,1,1.0,src/battle/systems.rs; src/plugins/ui.rs; src/plugins/inventory.rs; src/battle/damage.rs; core_plugin.rs,7770,7726,636,375,328,184,98,198,316
13,2026-02-24T22:05:56+00:00,2026-02-25T19:47:18+00:00,1301.37,41,5,0,41,2,0.4,src/data/enemies.rs; src/data/abilities.rs; src/data/units.rs; src/data/djinn.rs; src/battle/djinn.rs,840,799,17,17,22,10,6,38,168
